SUBDIVISION_NORM,THRESHOLD_SEASONAL_RAIN,METHOD,SAMPLES
ANDAMAN & NICOBAR ISLAND,2067.45,90pct_no_flood_records,116
ARUNACHAL PRADESH,3237.28,90pct_no_flood_records,103
ASSAM & MEGHALAYA,1989.2,90pct_no_flood_records,121
"NAGALAND, MANIPUR, MIZORAM, TRIPURA",2023.3000000000002,90pct_no_flood_records,121
SUB HIMALAYAN WBENGAL & SIKKIM,2397.4,90pct_no_flood_records,121
GANGETIC WBENGAL,1374.3000000000002,90pct_no_flood_records,121
ORISSA,1334.3999999999999,90pct_no_flood_records,121
JHARKHAND,1271.2,90pct_no_flood_records,121
BIHAR,1261.9,90pct_no_flood_records,121
EAST UTTAR PRADESH,1054.2,90pct_no_flood_records,121
WEST UTTAR PRADESH,930.2,90pct_no_flood_records,121
UTTARANCHAL,1462.7,90pct_no_flood_records,121
"HARYANA, DELHI & CHANDIGARH",622.4000000000001,90pct_no_flood_records,121
PUNJAB,635.0999999999999,90pct_no_flood_records,121
HIMACHAL PRADESH,1029.7,90pct_no_flood_records,121
JAMMU & KASHMIR,728.8,90pct_no_flood_records,121
WEST RAJASTHAN,384.0,90pct_no_flood_records,121
EAST RAJASTHAN,826.9000000000001,90pct_no_flood_records,121
WEST MADHYA PRADESH,1094.7,90pct_no_flood_records,121
EAST MADHYA PRADESH,1315.5,90pct_no_flood_records,121
GUJARAT REGION,1229.0,90pct_no_flood_records,121
SAURASHTRA & KUTCH,746.3,90pct_no_flood_records,121
KONKAN & GOA,3451.4,90pct_no_flood_records,121
MADHYA MAHARASHTRA,920.7,90pct_no_flood_records,121
MARATHWADA,897.8999999999999,90pct_no_flood_records,121
VIDARBHA,1190.5,90pct_no_flood_records,121
CHATHISGARH,1406.6999999999998,90pct_no_flood_records,121
COASTAL ANDHRA PRADESH & YANAM,728.7,90pct_no_flood_records,121
TELANGANA,967.6,90pct_no_flood_records,121
RAYALSEEMA,528.6,90pct_no_flood_records,121
"TAMIL NADU, PUDUCHERRY & KARAIKAL",414.0,90pct_no_flood_records,121
COASTAL KARNATAKA,3546.2999999999997,90pct_no_flood_records,121
NORTH INTERIOR KARNATAKA,656.7,90pct_no_flood_records,121
SOUTH INTERIOR KARNATAKA,854.1000000000001,90pct_no_flood_records,121
KERALA & MAHE,2485.7000000000003,90pct_no_flood_records,121
LAKSHDWEEP,1230.5000000000002,90pct_no_flood_records,120
